Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
243,Andrew Cogliano,COL,35,F,60,10,7,17,32,5,13:14,11:05,0:01,2:07,10,0,0,0,0,5,0,2,3,0,15,0,2,3,0,0.0%,0.756,0.529,1.285,0.901,0.451,1.352,0,0,0,0.167,0.117,0.283,74,13.5%,41,42,21,24,46.67%
244,Nick Ritchie,CGY,27,F,60,10,12,22,49,-16,13:36,11:11,2:24,0:00,6,4,0,2,0,6,6,0,1,0,12,10,0,3,0,45.5%,0.735,0.882,1.616,0.536,0.536,1.072,1.665,2.497,4.162,0.167,0.2,0.367,92,10.9%,174,25,2,8,20.00%
245,Nick Bonino,PIT,34,F,61,10,9,19,28,-6,16:00,12:10,1:34,2:16,10,0,0,0,0,8,1,0,3,0,18,1,0,3,0,5.3%,0.614,0.553,1.167,0.808,0.646,1.454,0,0.626,0.626,0.164,0.148,0.311,91,11.0%,19,76,215,227,48.64%
246,Brock McGinn,ANA,28,F,61,10,6,16,21,0,13:11,10:40,0:00,2:30,8,0,2,3,0,6,0,0,1,0,14,0,2,4,0,0.0%,0.745,0.447,1.192,0.737,0.553,1.29,0,0,0,0.164,0.098,0.262,78,12.8%,75,37,4,10,28.57%
247,Jakob Silfverberg,ANA,32,F,63,10,10,20,20,-16,15:18,10:49,1:40,2:48,6,4,0,2,0,9,1,0,1,0,15,5,0,3,0,25.0%,0.622,0.622,1.244,0.528,0.791,1.319,2.28,0.57,2.849,0.159,0.159,0.317,111,9.0%,9,44,16,29,35.56%
248,Yanni Gourde,SEA,31,F,63,10,28,38,55,15,17:06,14:33,0:29,2:04,7,2,1,2,1,28,0,0,2,0,35,2,1,4,1,5.3%,0.556,1.558,2.115,0.458,1.832,2.29,3.875,0,3.875,0.159,0.444,0.603,108,9.3%,88,36,365,374,49.39%
249,Barclay Goodrow,NYR,29,F,63,10,14,24,45,-1,14:42,12:31,0:18,1:51,9,1,0,2,0,12,1,1,3,0,21,2,1,5,0,8.3%,0.648,0.907,1.555,0.684,0.912,1.596,3.059,3.059,6.117,0.159,0.222,0.381,71,14.1%,95,43,184,219,45.66%
250,Adam Fox,NYR,24,D,63,10,47,57,26,21,24:54,18:56,3:42,2:15,9,1,0,4,1,25,19,3,6,0,34,20,3,10,1,35.1%,0.382,1.797,2.18,0.453,1.257,1.71,0.257,4.882,5.139,0.159,0.746,0.905,131,7.6%,23,85,0,0,0.00%
251,Casey Mittelstadt,BUF,24,F,63,10,30,40,10,-9,15:31,12:58,2:06,0:26,5,4,1,1,0,21,9,0,1,0,26,13,1,2,0,32.5%,0.613,1.84,2.454,0.367,1.541,1.908,1.807,4.065,5.871,0.159,0.476,0.635,100,10.0%,24,12,250,288,46.47%
252,Christian Dvorak,MTL,26,F,64,10,18,28,6,-12,16:51,12:42,1:50,2:18,9,0,1,1,0,15,3,0,2,0,24,3,1,3,0,10.7%,0.556,1.001,1.557,0.664,1.107,1.77,0,1.524,1.524,0.156,0.281,0.438,88,11.4%,13,66,477,440,52.02%
253,Mason Marchment,DAL,27,F,64,10,17,27,78,-6,15:39,13:59,1:39,0:00,8,2,0,2,0,14,3,0,5,1,22,5,0,7,1,18.5%,0.599,1.018,1.616,0.536,0.938,1.475,1.128,1.691,2.819,0.156,0.266,0.422,142,7.0%,86,33,10,15,40.00%
254,Barrett Hayton,ARI,22,F,64,10,17,27,32,-8,16:57,13:23,2:09,1:24,9,1,0,2,1,12,5,0,2,0,21,6,0,4,1,22.2%,0.553,0.94,1.493,0.63,0.841,1.471,0.434,2.171,2.605,0.156,0.266,0.422,133,7.5%,69,27,453,455,49.89%
255,Noah Cates,PHI,23,F,64,10,17,27,4,6,17:39,13:58,1:49,1:50,9,0,1,5,0,12,4,1,1,0,21,4,2,6,0,14.8%,0.531,0.903,1.434,0.604,0.805,1.408,0,2.057,2.057,0.156,0.266,0.422,79,12.7%,76,54,300,467,39.11%
256,Evander Kane,EDM,31,F,24,9,10,19,33,-1,18:59,16:15,1:50,0:53,8,0,1,0,0,7,2,1,1,0,15,2,2,1,0,10.5%,1.185,1.317,2.501,1.231,1.077,2.307,0,2.704,2.704,0.375,0.417,0.792,88,10.2%,66,10,7,12,36.84%
257,Thomas Novak,NSH,25,F,30,9,14,23,6,2,12:39,10:50,1:48,0:00,6,3,0,1,0,11,3,0,3,0,17,6,0,4,0,26.1%,1.422,2.211,3.633,1.106,2.028,3.134,3.318,3.318,6.636,0.3,0.467,0.767,53,17.0%,4,9,84,129,39.44%
258,Anthony Cirelli,TBL,25,F,41,9,12,21,27,5,16:54,14:04,0:34,2:15,8,1,0,1,0,11,1,0,3,1,19,2,0,4,1,9.5%,0.779,1.039,1.818,0.832,1.143,1.975,2.533,2.533,5.067,0.22,0.293,0.512,86,10.5%,20,36,304,288,51.35%
259,Ryan Hartman,MIN,28,F,42,9,14,23,74,2,15:41,13:48,1:03,0:49,9,0,0,4,0,12,1,1,2,0,21,1,1,6,0,4.3%,0.82,1.275,2.095,0.931,1.242,2.173,0,1.351,1.351,0.214,0.333,0.548,104,8.7%,42,33,147,203,42.00%
260,Alex Iafallo,LAK,29,F,42,9,17,26,12,8,16:21,13:07,1:23,1:51,6,3,0,2,0,16,1,0,2,0,22,4,0,4,0,15.4%,0.786,1.484,2.269,0.653,1.742,2.396,3.071,1.024,4.094,0.214,0.405,0.619,91,9.9%,21,26,5,4,55.56%
261,James van Riemsdyk,PHI,33,F,43,9,14,23,20,0,16:02,13:34,2:27,0:00,7,2,0,1,0,12,2,0,3,0,19,4,0,4,0,17.4%,0.783,1.218,2.001,0.719,1.233,1.953,1.135,1.135,2.27,0.209,0.326,0.535,84,10.7%,13,17,6,6,50.00%
