Year,Round,Overall_Pick,Nationality,Full_Name,Position,season,sequenceNumber,stat_assists,stat_goals,stat_pim,stat_games,stat_penaltyMinutes,stat_points,team_name,team_link,league_name,league_link,team_id,league_id,stat_powerPlayGoals,stat_gameWinningGoals,stat_shortHandedGoals,stat_plusMinus,stat_shots,stat_timeOnIce,stat_hits,stat_powerPlayPoints,stat_powerPlayTimeOnIce,stat_evenTimeOnIce,stat_faceOffPct,stat_shotPct,stat_overTimeGoals,stat_shortHandedPoints,stat_shortHandedTimeOnIce,stat_blocked,stat_shifts,season_played
2015,1,27,Sweden,Jacob Larsson,(D),20162017,1,0.0,0.0,2.0,4.0,2,0.0,Anaheim Ducks,/api/v1/teams/24,National Hockey League,/api/v1/league/133,24.0,133.0,0.0,0.0,0.0,-1.0,2.0,65:43,1.0,0.0,04:19,53:12,0.0,0.0,0.0,0.0,08:12,1.0,85.0,2
2015,1,28,Canada,Anthony Beauvillier,(LW),20162017,1,15.0,9.0,10.0,66.0,10,24.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,0.0,2.0,0.0,1.0,101.0,859:23,81.0,1.0,33:06,822:13,41.41,8.91,0.0,0.0,04:04,26.0,1135.0,2
2015,1,28,Canada,Anthony Beauvillier,(LW),20172018,1,15.0,21.0,16.0,71.0,16,36.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,3.0,2.0,0.0,2.0,132.0,1031:24,80.0,8.0,67:04,910:57,43.37,15.91,0.0,0.0,53:23,29.0,1266.0,3
2015,1,29,Sweden,Gabriel Carlsson,(D),20162017,1,1.0,0.0,0.0,2.0,0,1.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,0.0,0.0,0.0,-2.0,3.0,34:15,5.0,0.0,00:00,33:31,0.0,0.0,0.0,0.0,00:44,2.0,46.0,2
2015,1,29,Sweden,Gabriel Carlsson,(D),20172018,1,2.0,0.0,4.0,14.0,4,2.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,0.0,0.0,0.0,0.0,18.0,158:37,10.0,0.0,00:08,155:07,0.0,0.0,0.0,0.0,03:22,10.0,209.0,3
2015,1,30,Canada,Nick Merkley,(RW),20172018,1,0.0,0.0,2.0,1.0,2,0.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,0.0,0.0,0.0,0.0,13:30,0.0,0.0,02:03,11:27,0.0,0.0,0.0,0.0,00:00,0.0,19.0,3
2015,2,32,United States,Christian Fischer,(RW),20162017,1,0.0,3.0,0.0,7.0,0,3.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,1.0,0.0,0.0,10.0,86:17,9.0,0.0,00:00,84:44,0.0,30.0,0.0,0.0,01:33,0.0,115.0,2
2015,2,32,United States,Christian Fischer,(RW),20172018,1,18.0,15.0,14.0,79.0,14,33.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,5.0,3.0,0.0,-17.0,154.0,1098:29,109.0,8.0,170:36,926:12,17.24,9.74,2.0,0.0,01:41,23.0,1572.0,3
2015,2,34,Canada,Travis Dermott,(D),20172018,1,12.0,1.0,8.0,37.0,8,13.0,Toronto Maple Leafs,/api/v1/teams/10,National Hockey League,/api/v1/league/133,10.0,133.0,0.0,0.0,0.0,16.0,54.0,591:47,48.0,0.0,03:19,574:11,0.0,1.85,0.0,0.0,14:17,36.0,821.0,3
2015,2,37,United States,Brandon Carlo,(D),20162017,1,10.0,6.0,59.0,82.0,59,16.0,Boston Bruins,/api/v1/teams/6,National Hockey League,/api/v1/league/133,6.0,133.0,0.0,0.0,1.0,9.0,88.0,1706:54,87.0,0.0,07:14,1485:09,0.0,6.82,0.0,1.0,214:31,115.0,2080.0,2
